iter	Passed	Remaining
406	5765	2960
407	5779	2946
408	5793	2932
409	5808	2918
410	5823	2904
411	5838	2890
412	5852	2876
413	5865	2862
414	5883	2849
415	5899	2836
416	5915	2823
417	5933	2810
418	5949	2797
419	5963	2783
420	5978	2768
421	5992	2754
422	6007	2740
423	6021	2726
424	6036	2713
425	6052	2699
426	6066	2685
427	6081	2671
428	6095	2657
429	6110	2643
430	6128	2630
431	6142	2616
432	6156	2602
433	6172	2588
434	6187	2574
435	6201	2560
436	6221	2548
437	6237	2534
438	6252	2520
439	6267	2507
440	6282	2493
441	6298	2479
442	6314	2465
443	6331	2452
444	6346	2438
445	6360	2424
446	6375	2410
447	6390	2396
448	6404	2382
449	6419	2367
450	6435	2354
451	6450	2340
452	6466	2326
453	6480	2312
454	6495	2298
455	6509	2284
456	6523	2269
457	6539	2255
458	6554	2242
459	6569	2228
460	6584	2213
461	6600	2200
462	6616	2186
463	6634	2173
464	6647	2158
465	6662	2144
466	6674	2129
467	6687	2114
468	6701	2100
469	6714	2085
470	6729	2071
471	6742	2056
472	6754	2042
473	6767	2027
474	6779	2012
475	6790	1997
476	6802	1982
477	6816	1967
478	6830	1953
479	6846	1939
480	6861	1925
481	6876	1911
482	6891	1897
483	6906	1883
484	6921	1869
485	6936	1855
486	6953	1841
487	6967	1827
488	6981	1813
489	6996	1799
490	7012	1785
491	7027	1771
492	7042	1757
493	7056	1742
494	7070	1728
495	7084	1714
496	7099	1699
497	7113	1685
498	7128	1671
499	7141	1656
500	7155	1642
501	7169	1628
502	7184	1614
503	7199	1599
504	7216	1586
505	7234	1572
506	7257	1560
507	7275	1546
508	7295	1533
509	7314	1520
510	7332	1506
511	7355	1494
512	7381	1482
513	7404	1469
514	7418	1454
515	7438	1441
516	7459	1428
517	7476	1414
518	7491	1400
519	7506	1385
520	7521	1371
521	7536	1357
522	7551	1342
523	7565	1328
524	7582	1314
525	7602	1300
526	7622	1287
527	7644	1274
528	7656	1259
529	7674	1245
530	7691	1231
531	7707	1217
532	7724	1202
533	7738	1188
534	7751	1173
535	7764	1158
536	7784	1145
537	7807	1131
538	7834	1119
539	7864	1106
540	7892	1094
541	7915	1080
542	7936	1066
543	7960	1053
544	7987	1040
545	8009	1026
546	8036	1013
547	8060	1000
548	8086	986
549	8113	973
550	8138	960
551	8155	945
552	8170	930
553	8185	916
554	8200	901
555	8216	886
556	8232	871
557	8247	857
558	8261	842
559	8275	827
560	8290	812
561	8305	798
562	8322	783
563	8336	768
564	8351	753
565	8367	739
566	8382	724
567	8399	709
568	8414	695
569	8433	680
570	8455	666
571	8474	651
572	8492	637
573	8521	623
574	8540	608
575	8562	594
576	8584	580
577	8607	565
578	8627	551
579	8646	536
580	8662	521
581	8677	506
582	8698	492
583	8713	477
584	8727	462
585	8740	447
586	8752	432
587	8769	417
588	8784	402
589	8799	387
590	8815	372
591	8830	357
592	8844	343
593	8860	328
594	8874	313
595	8889	298
596	8904	283
597	8918	268
598	8935	253
599	8950	238
600	8966	223
601	8980	208
602	8994	193
603	9009	178
604	9023	164
605	9037	149
606	9053	134
607	9069	119
608	9084	104
609	9097	89
610	9115	74
611	9133	59
612	9158	44
613	9179	29
614	9202	14
615	9221	0
